0, 3.48889e-05
1, 3.33419e-05
2, 3.175e-05
3, 2.71242e-05
4, 2.50293e-05
5, 2.38535e-05
6, 2.32407e-05
7, 2.27648e-05
8, 2.24654e-05
9, 2.23093e-05
10, 2.14388e-05
11, 2.1378e-05
12, 2.13503e-05
13, 2.13367e-05
14, 2.133e-05
15, 2.1319e-05
16, 2.13103e-05
17, 2.13521e-05
18, 2.13072e-05
19, 2.13004e-05
20, 2.12913e-05
21, 2.12948e-05
22, 2.13081e-05
23, 2.12982e-05
24, 2.12982e-05
25, 2.25641e-05
26, 2.1298e-05
27, 2.12919e-05
28, 2.14356e-05
29, 2.12949e-05
30, 2.16557e-05
31, 2.13126e-05
32, 2.14398e-05
33, 2.13017e-05
34, 2.13705e-05
35, 2.13025e-05
36, 2.12919e-05
