-20.00000, 40.35714
-10.00000, 40.35714
-5.00000, 40.35714
-1.00000, 40.35714
-0.50000, 40.35714
-0.20000, 40.35714
-0.10000, 40.35714
-0.01794, 40.35714
0.00000, 40.35714
0.01794, 40.35714
0.86099, 40.37500
1.93722, 40.42857
3.10314, 40.51786
4.08969, 40.73214
4.78924, 40.82143
5.38117, 40.98214
6.08072, 41.07143
6.83408, 41.26786
7.33632, 41.37500
7.98206, 41.53571
8.53812, 41.62500
9.18386, 41.78571
9.97309, 41.89286
10.56502, 41.91071
11.06726, 41.91071
11.73094, 41.92857
12.26906, 41.94643
12.75336, 41.89286
13.50673, 41.78571
14.20628, 41.67857
14.83408, 41.58929
15.56951, 41.44643
16.19731, 41.33929
16.80717, 41.21429
17.39910, 41.08929
17.73991, 41.07143
18.00000, 41.07143
18.20000, 41.07143
18.50000, 41.07143
19.00000, 41.07143
20.00000, 41.07143
25.00000, 41.07143
30.00000, 41.07143
40.00000, 41.07143
